Date,Call GEX,Put GEX,Net GEX,P/C GEX
2025-06-24,4.69M,-4.12M,566.64K,0.88
2025-06-23,3.63M,-5.20M,-1.57M,1.43
2025-06-20,4.92M,-5.93M,-1.02M,1.21
2025-06-18,4.98M,-5.53M,-550.87K,1.11
2025-06-17,5.17M,-5.72M,-549.24K,1.11
2025-06-16,5.11M,-4.92M,186.55K,0.96
2025-06-13,4.82M,-5.57M,-746.36K,1.15
2025-06-12,5.27M,-5.08M,192.17K,0.96
2025-06-11,5.42M,-4.04M,1.38M,0.75
2025-06-10,5.34M,-4.30M,1.04M,0.8
2025-06-09,4.92M,-4.21M,701.47K,0.86
2025-06-06,5.2M,-4.08M,1.12M,0.78
2025-06-05,5.1M,-4.25M,851.62K,0.83
2025-06-04,4.97M,-4.08M,888.67K,0.82
2025-06-03,4.83M,-4.36M,465.99K,0.9
2025-06-02,4.06M,-4.50M,-437.16K,1.11
2025-05-30,4.93M,-4.92M,15.77K,1
2025-05-29,5M,-4.01M,1M,0.8
2025-05-28,4.62M,-4.18M,443.88K,0.9
2025-05-27,4.3M,-4.38M,-76.90K,1.02
2025-05-23,3.25M,-5.60M,-2.35M,1.72
2025-05-22,4.06M,-5.55M,-1.49M,1.37
2025-05-21,4.58M,-4.88M,-299.02K,1.07
2025-05-20,4.71M,-4.46M,249.88K,0.95
2025-05-19,4.01M,-4.88M,-864.75K,1.22
2025-05-16,5.27M,-4.40M,868.24K,0.84
2025-05-15,4.97M,-4.71M,257.95K,0.95
2025-05-14,5.32M,-3.98M,1.34M,0.75
2025-05-13,5.23M,-3.74M,1.49M,0.72
2025-05-12,5.46M,-2.67M,2.8M,0.49
2025-05-09,4.26M,-4.43M,-175.19K,1.04
2025-05-08,3.99M,-4.30M,-310.76K,1.08
2025-05-07,3.49M,-4.82M,-1.34M,1.38
2025-05-06,3.26M,-5.13M,-1.86M,1.57
2025-05-05,3.37M,-4.70M,-1.34M,1.4
2025-05-02,4.02M,-3.68M,339.44K,0.92
2025-05-01,3.82M,-3.87M,-42.30K,1.01
2025-04-30,3.42M,-5.57M,-2.16M,1.63
2025-04-29,3.73M,-4.85M,-1.13M,1.3
2025-04-28,3.76M,-4.39M,-628.17K,1.17
2025-04-25,4.13M,-4.81M,-681.69K,1.17
2025-04-24,3.42M,-5.24M,-1.82M,1.53
2025-04-23,3.61M,-4.35M,-734.06K,1.2
2025-04-22,2.69M,-5.23M,-2.54M,1.95
2025-04-21,2.05M,-5.25M,-3.21M,2.57
2025-04-17,3.14M,-6.50M,-3.35M,2.07
2025-04-16,3.03M,-7.12M,-4.10M,2.35
2025-04-15,3.56M,-6.30M,-2.74M,1.77
2025-04-14,3.51M,-5.41M,-1.90M,1.54
2025-04-11,2.92M,-6.24M,-3.32M,2.14
2025-04-10,3.12M,-6.44M,-3.32M,2.06
2025-04-09,1.69M,-5.87M,-4.18M,3.47
2025-04-08,2.47M,-5.56M,-3.09M,2.25
2025-04-07,1.16M,-5.68M,-4.52M,4.89
2025-04-04,1.48M,-7.28M,-5.80M,4.92
2025-04-03,1.91M,-8.53M,-6.61M,4.46
2025-04-02,2.92M,-6.84M,-3.92M,2.34
2025-04-01,3.31M,-6.72M,-3.41M,2.03
2025-03-31,2.07M,-7.12M,-5.05M,3.44
2025-03-28,3.3M,-6.84M,-3.54M,2.07
2025-03-27,3.44M,-6.47M,-3.02M,1.88
2025-03-26,4.66M,-5.75M,-1.09M,1.23
2025-03-25,4.69M,-5.40M,-710.84K,1.15
2025-03-24,4.11M,-4.88M,-775.63K,1.19
2025-03-21,2.88M,-8.57M,-5.69M,2.97
2025-03-20,3.69M,-8.99M,-5.30M,2.44
2025-03-19,3.74M,-8.65M,-4.92M,2.32
2025-03-18,3.79M,-8.69M,-4.90M,2.3
2025-03-17,3.57M,-8.35M,-4.78M,2.34
2025-03-14,3.21M,-8.08M,-4.87M,2.52
2025-03-13,3.15M,-8.08M,-4.93M,2.56
2025-03-12,3.25M,-7.71M,-4.46M,2.37
2025-03-11,2.69M,-7.60M,-4.91M,2.83
2025-03-10,2.65M,-7.60M,-4.95M,2.87
2025-03-07,2.78M,-7.75M,-4.97M,2.79
2025-03-06,2.88M,-7.69M,-4.81M,2.67
2025-03-05,2.96M,-7.55M,-4.59M,2.55
2025-03-04,2.6M,-7.22M,-4.63M,2.78
2025-03-03,4.41M,-5.84M,-1.43M,1.32
2025-02-28,3.22M,-7.76M,-4.54M,2.41
2025-02-27,4.35M,-7.13M,-2.78M,1.64
2025-02-26,3.92M,-6.78M,-2.86M,1.73
2025-02-25,3.88M,-6.85M,-2.97M,1.76
2025-02-24,4.53M,-6.43M,-1.91M,1.42
2025-02-21,6.29M,-6.35M,-61.95K,1.01
2025-02-20,6.31M,-6.09M,216.94K,0.97
2025-02-19,5.82M,-6.08M,-255.75K,1.04
2025-02-18,5.79M,-5.40M,389.32K,0.93
2025-02-14,6.4M,-5.42M,973.31K,0.85
2025-02-13,5.24M,-6.07M,-828.61K,1.16
2025-02-12,3.93M,-6.93M,-3.00M,1.76
2025-02-11,4.4M,-6.11M,-1.71M,1.39
2025-02-10,4.65M,-5.43M,-774.97K,1.17
2025-02-07,4.98M,-4.99M,-10.51K,1
2025-02-06,5.02M,-5.16M,-138.01K,1.03
2025-02-05,4.29M,-5.89M,-1.60M,1.37
2025-02-04,3.96M,-6.06M,-2.11M,1.53
