instrument_name,expiration,strike,option_type,price,amount,direction,timestamp
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.0345,0.1,buy,2025-05-06 05:09:51.061
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.0345,0.1,buy,2025-05-06 05:14:32.115
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.034,0.1,buy,2025-05-06 05:17:34.630
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.033,0.1,sell,2025-05-06 05:32:25.735
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.0335,0.1,buy,2025-05-06 05:39:11.068
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.033,0.1,sell,2025-05-06 05:52:34.198
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.0315,0.9,sell,2025-05-06 10:30:02.771
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.0315,2.2,buy,2025-05-06 10:31:36.613
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.0315,2.2,buy,2025-05-06 10:37:06.000
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.0305,0.3,sell,2025-05-06 10:42:15.956
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.0305,2.2,buy,2025-05-06 10:45:38.904
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.0305,2.2,buy,2025-05-06 10:46:14.440
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.03,1.4,buy,2025-05-06 10:54:07.367
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.0295,0.2,sell,2025-05-06 11:44:15.646
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.03,0.3,sell,2025-05-06 11:47:12.261
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.03,0.1,sell,2025-05-06 11:47:12.373
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.03,0.4,sell,2025-05-06 11:47:14.271
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.03,0.2,sell,2025-05-06 11:47:18.030
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.0295,0.1,sell,2025-05-06 12:01:29.742
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.0305,0.5,buy,2025-05-06 12:45:44.552
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.028,0.1,buy,2025-05-06 13:54:42.366
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.033,0.3,buy,2025-05-06 14:22:43.666
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.033,0.3,buy,2025-05-06 14:22:43.666
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.032,0.9,sell,2025-05-06 14:42:44.891
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.032,0.1,sell,2025-05-06 14:42:44.891
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.034,0.1,sell,2025-05-06 21:00:34.300
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.034,0.1,sell,2025-05-06 21:02:06.558
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.038,0.1,sell,2025-05-06 22:05:15.161
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.04,0.4,sell,2025-05-06 22:38:43.736
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.04,1.8,sell,2025-05-06 22:38:49.332
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.043,2.2,sell,2025-05-06 22:48:49.082
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.0435,0.2,sell,2025-05-06 22:51:22.271
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.0435,0.2,sell,2025-05-06 22:51:22.406
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.05,0.3,buy,2025-05-07 01:58:31.928
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.05,0.1,buy,2025-05-07 01:58:31.998
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.05,0.1,buy,2025-05-07 01:58:32.042
BTC-23MAY25-95000-C,2025-05-23 08:00:00,95000.0,call,0.05,0.1,buy,2025-05-07 01:58:43.627
